acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
6107749,2022-04-16T06:56:00Z,2022-04-16T20:09:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดาวคะนอง -  แสมดำ,4-wheel pickup truck,speeding,rear-end collision,2,0,0,clear,13.64052614,100.4085561,straight road,no slope
6105392,2022-04-16T08:30:00Z,2022-04-16T10:33:00Z,นนทบุรี,Nonthaburi,department of highways,บางบัวทอง - บางคูวัด,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,1,clear,13.94351169,100.4275891,straight road,no slope
6107729,2022-04-16T09:30:00Z,2022-04-16T20:04:00Z,สมุทรปราการ,Samut Prakan,department of highways,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,private/passenger car,vehicle equipment failure,rear-end collision,2,0,1,clear,13.65473666,100.6723863,straight road,no slope
6145650,2022-04-16T15:30:00Z,2022-04-27T15:37:00Z,สมุทรปราการ,Samut Prakan,expressway authority of thailand,บางนา-ชลบุรี,4-wheel pickup truck,other,rear-end collision,2,0,0,clear,13.594232,100.806974,straight road,other
6110009,2022-04-16T15:47:00Z,2022-04-17T06:11:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,4-wheel pickup truck,vehicle equipment failure,rollover/fallen on straight road,1,0,0,clear,13.72458039,100.8129582,straight road,no slope
6107748,2022-04-16T15:50:00Z,2022-04-16T20:06:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางบอน - โรงพยาบาลบางปะกอก 8,private/passenger car,speeding,rear-end collision,2,0,1,clear,13.6496437,100.3857627,straight road,no slope
6566485,2022-04-16T15:50:00Z,2022-04-17T13:47:00Z,นครปฐม,Nakhon Pathom,department of rural roads,แยกทางหลวงหมายเลข 4 (กม.ที่ 59+720) - บ้านองครักษ์,motorcycle,driving under the influence of alcohol,other,1,0,1,clear,13.830311,100.029891,straight road,no slope
6110011,2022-04-16T16:30:00Z,2022-04-17T06:11:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บางปะอิน - แขวงรามอินทรา,large truck with trailer,speeding,rear-end collision,2,0,0,clear,13.91353159,100.7017591,straight road,no slope
6107220,2022-04-16T16:34:00Z,2022-04-16T18:05:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,4-wheel pickup truck,speeding,rear-end collision,5,0,0,clear,13.71805581,100.8161849,straight road,no slope
6115484,2022-04-16T17:00:00Z,2022-04-18T06:39:00Z,นนทบุรี,Nonthaburi,department of highways,บางบัวทอง -  ลาดบัวหลวง,motorcycle,speeding,collision with obstruction (on road surface),2,0,1,clear,13.97637963,100.3913873,straight road,no slope
